['St. Vincent and the Grenadines', 'Black Carbon', 15],
['St. Lucia', 'Black Carbon', 15],
['Tonga', 'Black Carbon', 12],
['Uzbekistan', 'Black Carbon', 83],
['Pakistan', 'Black Carbon', 29],
['Gaza Strip', 'Black Carbon', 33],
['Bangladesh', 'Black Carbon', 20],
['Central African Republic', 'Black Carbon', 25],
['Bermuda', 'Black Carbon', 10],
['Mali', 'Black Carbon', 36],
['Bulgaria', 'Black Carbon', 55],
['Isle of Man', 'Black Carbon', 39],
['Sierra Leone', 'Black Carbon', 20],
['Iraq-Saudi Arabia Neutral Zone', 'Black Carbon', 29],
['Mongolia', 'Black Carbon', 56],
['Slovenia', 'Black Carbon', 47],
['Malaysia', 'Black Carbon', 21],
['India', 'Black Carbon', 21],
['Reunion', 'Black Carbon', 10],
['Myanmar (Burma)', 'Black Carbon', 23],
['Guinea', 'Black Carbon', 23],
['St. Christopher-Nevis', 'Black Carbon', 11],
['Zaire', 'Black Carbon', 21],
['Svalbard', 'Black Carbon', 125],
['Malta', 'Black Carbon', 24],
['Montenegro', 'Black Carbon', 46],
['Grenada', 'Black Carbon', 20],
['Luxembourg', 'Black Carbon', 49],
['Tajikistan', 'Black Carbon', 61],
['Equatorial Guinea', 'Black Carbon', 30],
['Japan', 'Black Carbon', 28],
['Djibouti', 'Black Carbon', 27],
['Falkland Islands (Islas Malvinas)', 'Black Carbon', 55],
['Lithuania', 'Black Carbon', 60],
['Andorra', 'Black Carbon', 27],
['Bahrain', 'Black Carbon', 29],
['Oman', 'Black Carbon', 26],
['Vietnam', 'Black Carbon', 25],
['Macau', 'Black Carbon', 31],
['Western Samoa', 'Black Carbon', 11],
['Malawi', 'Black Carbon', 16],
['Libya', 'Black Carbon', 33],
['New Zealand', 'Black Carbon', 24],
['Dominican Republic', 'Black Carbon', 12],
['Czech Republic', 'Black Carbon', 57],
['Jordan', 'Black Carbon', 35],
['Saudi Arabia', 'Black Carbon', 33],
['Egypt', 'Black Carbon', 40],
['Russia', 'Black Carbon', 111],
['Lesotho', 'Black Carbon', 13],
['Angola', 'Black Carbon', 21],
['Botswana', 'Sulfate', -3],
['Brazil', 'Sulfate', -3],
['Ivory Coast', 'Sulfate', -4],
['Barbados', 'Sulfate', -3],
['Costa Rica', 'Sulfate', -1],
['Sao Tome and Principe', 'Sulfate', -4],
['Moldova', 'Sulfate', -4],
['San Marino', 'Sulfate', -2],
['Chad', 'Sulfate', -2],
['Ireland', 'Sulfate', -3],
['Sri Lanka', 'Sulfate', -2],
['Bhutan', 'Sulfate', 0],
['Liberia', 'Sulfate', -3],
['Nepal', 'Sulfate', 0],
['Romania', 'Sulfate', -4],
['United Kingdom', 'Sulfate', -2],
['Zimbabwe', 'Sulfate', -2],
